x,y_obs,weight,y_calc,y_bkg,Q
6.54456,148.223,0.0067466,148.425,145.195,1.7358
6.56356,148.334,0.00674155,148.537,145.195,1.74084
6.58256,148.516,0.00673326,148.657,145.197,1.74587
6.60157,148.487,0.0067346,148.784,145.198,1.7509
6.62057,148.834,0.00671887,148.921,145.2,1.75594
6.63957,149.697,0.00668014,149.066,145.203,1.76097
6.65857,150.699,0.00663576,149.222,145.206,1.76601
6.67758,151.874,0.00658441,149.389,145.21,1.77104
6.69658,153.146,0.00652973,149.568,145.215,1.77608
6.71558,154.655,0.00646602,149.761,145.22,1.78111
6.73459,154.908,0.00645546,149.968,145.225,1.78614
6.75359,154.895,0.00645599,150.191,145.231,1.79118
6.77259,153.808,0.0065016,150.432,145.238,1.79621
6.7916,152.8,0.00654452,150.692,145.245,1.80125
6.8106,151.561,0.00659799,150.974,145.253,1.80628
6.8296,150.555,0.00664208,151.279,145.262,1.81131
6.84861,150.74,0.00663396,151.611,145.271,1.81635
6.86761,150.717,0.00663495,151.973,145.281,1.82138
6.88661,150.655,0.0066377,152.368,145.291,1.82641
6.90562,150.348,0.00665124,152.8,145.302,1.83145
6.92462,150.648,0.00663801,153.274,145.314,1.83648
6.94362,150.931,0.00662554,153.794,145.326,1.84151
6.96263,151.137,0.0066165,154.366,145.339,1.84655
6.98163,150.996,0.00662271,154.998,145.352,1.85158
7.00063,151.405,0.00660479,155.695,145.366,1.85661
7.01964,151.907,0.00658299,156.466,145.381,1.86165
7.03864,152.407,0.0065614,157.32,145.396,1.86668
7.05764,152.585,0.00655372,158.267,145.412,1.87171
7.07665,152.928,0.00653904,159.317,145.429,1.87675
7.09565,153.981,0.00649431,160.482,145.446,1.88178
7.11465,155.737,0.00642108,161.774,145.464,1.88681
7.13366,158.196,0.00632128,163.203,145.482,1.89185
7.15266,160.261,0.00623981,164.781,145.501,1.89688
7.17166,162.025,0.00617187,166.515,145.521,1.90191
7.19067,163.716,0.00610813,168.41,145.542,1.90694
7.20967,165.414,0.00604543,170.464,145.563,1.91198
7.22867,167.415,0.00597318,172.664,145.585,1.91701
7.24768,169.669,0.00589384,174.984,145.607,1.92204
7.26668,173.539,0.00576238,177.377,145.63,1.92707
7.28568,178.157,0.00561303,179.776,145.654,1.93211
7.30469,185.205,0.00539943,182.087,145.678,1.93714
7.32369,190.94,0.00523724,184.195,145.703,1.94217
7.34269,196.533,0.00508819,185.97,145.729,1.9472
7.3617,199.916,0.0050021,187.285,145.755,1.95224
7.3807,199.816,0.00500461,188.035,145.782,1.95727
7.3997,195.3,0.00512034,188.157,145.81,1.9623
7.41871,190.439,0.00525101,187.644,145.838,1.96733
7.43771,185.377,0.0053944,186.547,145.867,1.97236
7.45671,180.522,0.00553948,184.963,145.897,1.9774
7.47572,176.668,0.00566034,183.016,145.927,1.98243
7.49472,173.377,0.00576778,180.836,145.958,1.98746
7.51372,170.634,0.00586049,178.544,145.99,1.99249
7.53273,168.242,0.00594383,176.238,146.022,1.99752
7.55173,166.604,0.00600227,173.992,146.055,2.00256
7.57073,165.144,0.00605533,171.857,146.089,2.00759
7.58973,164.181,0.00609083,169.864,146.123,2.01262
7.60874,163.226,0.00612648,168.028,146.158,2.01765
7.62774,162.804,0.00614235,166.354,146.193,2.02268
7.64674,162.275,0.00616238,164.839,146.23,2.02771
7.66575,162.125,0.00616809,163.475,146.267,2.03275
7.68475,161.837,0.00617908,162.252,146.304,2.03778
7.70375,161.704,0.00618415,161.158,146.342,2.04281
7.72276,161.463,0.00619337,160.183,146.381,2.04784
7.74176,161.35,0.0061977,159.315,146.421,2.05287
7.76076,160.798,0.00621899,158.543,146.461,2.0579
7.77977,160.807,0.00621865,157.857,146.502,2.06293
7.79877,160.505,0.00623035,157.249,146.544,2.06796
7.81777,160.421,0.00623359,156.71,146.586,2.07299
7.83678,160.148,0.00624423,156.233,146.629,2.07803
7.85578,160.148,0.00624424,155.811,146.672,2.08306
7.87478,160.156,0.00624392,155.439,146.717,2.08809
7.89379,159.795,0.006258,155.113,146.762,2.09312
7.91279,159.424,0.00627258,154.827,146.807,2.09815
7.93179,159.326,0.00627645,154.578,146.853,2.10318
7.9508,159.365,0.00627491,154.363,146.9,2.10821
