Histogram,PWDR 17_ReMoB2_725psi_98GPa_S_P1_C1_D1w_109.xy,,,,
Instparm: Type,PXC,,,,
Instparm: Bank,1,,,,
Instparm: Lam,0.413263,,,,
Instparm: Polariz.,0.99,,,,
Instparm: Azimuth,0,,,,
Instparm: Zero,-0.000383,,,,
Instparm: U,234.8,,,,
Instparm: V,-21.61,,,,
Instparm: W,7.33,,,,
Instparm: X,0,,,,
Instparm: Y,0,,,,
Instparm: Z,0,,,,
Instparm: SH/L,0,,,,
Samparm: InstrName,,,,,
Samparm: Scale,0.53,,,,
Samparm: Type,Debye-Scherrer,,,,
Samparm: DisplaceX,0,,,,
Samparm: DisplaceY,0,,,,
Samparm: Temperature,300,,,,
Samparm: Pressure,0.1,,,,
Samparm: Time,0,,,,
Samparm: Gonio. radius,200,,,,
Samparm: Omega,0,,,,
Samparm: Chi,0,,,,
Samparm: Phi,0,,,,
Samparm: Azimuth,0,,,,
x,y_obs,weight,y_calc,y_bkg,Q
6.33552,144.025,0.00694322,145.177,143.931,1.68042
6.35452,144,0.00694445,145.236,143.958,1.68546
6.37353,143.897,0.0069494,145.297,143.985,1.69049
6.39253,143.867,0.00695088,145.36,144.013,1.69552
6.41153,144.362,0.00692701,145.426,144.04,1.70056
6.43054,144.289,0.00693054,145.494,144.068,1.70559
6.44954,144.642,0.00691363,145.565,144.096,1.71063
6.46854,144.871,0.0069027,145.639,144.124,1.71566
6.48755,145.119,0.00689091,145.716,144.152,1.7207
6.50655,145.581,0.00686902,145.796,144.18,1.72573
6.52555,146.317,0.00683446,145.881,144.209,1.73077
6.54456,148.083,0.00675295,145.97,144.237,1.7358
6.56356,149.426,0.00669226,146.063,144.266,1.74084
6.58256,150.726,0.00663456,146.162,144.294,1.74587
6.60157,150.791,0.00663172,146.267,144.322,1.7509
6.62057,150.172,0.00665904,146.378,144.351,1.75594
6.63957,148.658,0.00672685,146.496,144.379,1.76097
6.65857,147.536,0.00677802,146.623,144.408,1.76601
6.67758,146.546,0.0068238,146.759,144.436,1.77104
6.69658,145.839,0.00685686,146.906,144.464,1.77608
6.71558,145.497,0.00687302,147.065,144.493,1.78111
6.73459,145.619,0.00686724,147.239,144.521,1.78614
6.75359,145.811,0.00685821,147.428,144.549,1.79118
6.77259,146.023,0.00684825,147.637,144.576,1.79621
6.7916,146.134,0.00684303,147.867,144.604,1.80125
6.8106,146.47,0.00682733,148.124,144.632,1.80628
6.8296,146.663,0.00681836,148.411,144.659,1.81131
6.84861,147.036,0.00680106,148.735,144.686,1.81635
6.86761,147.771,0.00676722,149.104,144.713,1.82138
6.88661,148.783,0.0067212,149.526,144.74,1.82641
6.90562,150.197,0.00665793,150.014,144.767,1.83145
6.92462,151.407,0.00660471,150.585,144.793,1.83648
6.94362,152.651,0.00655089,151.262,144.82,1.84151
6.96263,154.321,0.00648001,152.075,144.846,1.84655
6.98163,155.24,0.00644164,153.069,144.872,1.85158
7.00063,155.893,0.00641467,154.306,144.897,1.85661
7.01964,156.121,0.00640527,155.871,144.922,1.86165
7.03864,157.12,0.00636456,157.877,144.947,1.86668
7.05764,158.424,0.00631216,160.467,144.972,1.87171
7.07665,161.867,0.00617793,163.811,144.997,1.87675
7.09565,166.315,0.00601268,168.094,145.021,1.88178
7.11465,172.158,0.00580861,173.489,145.045,1.88681
7.13366,180.814,0.00553053,180.083,145.069,1.89185
7.15266,189.257,0.00528382,187.724,145.092,1.89688
7.17166,200.553,0.00498621,195.751,145.115,1.90191
7.19067,206.444,0.00484393,202.709,145.138,1.90694
7.20967,208.503,0.0047961,206.55,145.16,1.91198
7.22867,205.106,0.00487554,205.792,145.183,1.91701
7.24768,199.896,0.00500261,200.769,145.205,1.92204
7.26668,192.032,0.00520747,193.321,145.226,1.92707
7.28568,185.036,0.00540434,185.379,145.248,1.93211
7.30469,178.84,0.00559158,178.121,145.269,1.93714
7.32369,172.706,0.00579018,172.002,145.29,1.94217
7.34269,167.873,0.0059569,167.068,145.31,1.9472
7.3617,163.626,0.00611149,163.195,145.33,1.95224
7.3807,160.927,0.00621399,160.198,145.35,1.95727
7.3997,158.599,0.0063052,157.897,145.37,1.9623
7.41871,157.053,0.00636727,156.129,145.39,1.96733
7.43771,155.716,0.00642197,154.762,145.409,1.97236
7.45671,154.325,0.00647983,153.692,145.428,1.9774
7.47572,153.225,0.00652633,152.843,145.446,1.98243
7.49472,152.478,0.00655831,152.158,145.465,1.98746
7.51372,152.238,0.00656868,151.599,145.483,1.99249
7.53273,151.944,0.00658137,151.138,145.5,1.99752
7.55173,151.378,0.006606,150.753,145.518,2.00256
7.57073,150.881,0.00662776,150.431,145.536,2.00759
7.58973,150.151,0.00665998,150.16,145.553,2.01262
7.60874,150.224,0.00665671,149.93,145.57,2.01765
7.62774,150.154,0.00665983,149.737,145.586,2.02268
7.64674,150.037,0.00666503,149.573,145.603,2.02771
7.66575,149.794,0.00667583,149.434,145.619,2.03275
7.68475,149.943,0.00666922,149.318,145.636,2.03778
7.70375,149.41,0.00669301,149.221,145.652,2.04281
7.72276,149.317,0.00669714,149.141,145.668,2.04784
7.74176,149.141,0.00670508,149.075,145.683,2.05287
7.76076,149.014,0.00671079,149.023,145.699,2.0579
7.77977,148.618,0.00672865,148.984,145.715,2.06293
7.79877,148.314,0.00674244,148.956,145.73,2.06796
7.81777,148.263,0.00674477,148.939,145.745,2.07299
7.83678,148.617,0.00672873,148.934,145.761,2.07803
7.85578,148.771,0.00672172,148.941,145.776,2.08306
7.87478,149.104,0.00670672,148.962,145.791,2.08809
7.89379,148.85,0.00671817,149.003,145.806,2.09312
7.91279,148.86,0.00671771,149.071,145.821,2.09815
7.93179,149.199,0.00670245,149.178,145.836,2.10318
7.9508,149.265,0.00669952,149.339,145.851,2.10821
7.9698,149.692,0.0066804,149.567,145.866,2.11324
7.9888,150.162,0.00665949,149.859,145.882,2.11827
8.00781,150.193,0.00665809,150.182,145.897,2.1233
8.02681,149.955,0.00666865,150.431,145.912,2.12833
8.04581,149.682,0.00668084,150.475,145.928,2.13336
8.06482,149.667,0.00668151,150.307,145.943,2.13839
8.08382,149.806,0.00667532,150.058,145.959,2.14342
8.10282,149.871,0.00667238,149.833,145.975,2.14845
8.12183,149.734,0.00667852,149.673,145.991,2.15348
8.14083,149.763,0.00667723,149.578,146.007,2.15851
8.15983,150.214,0.00665715,149.537,146.023,2.16354
8.17884,150.61,0.00663967,149.535,146.04,2.16857
8.19784,150.28,0.00665425,149.559,146.057,2.1736
8.21684,150.567,0.00664156,149.601,146.074,2.17863
8.23585,150.802,0.0066312,149.655,146.091,2.18366
8.25485,151.297,0.00660952,149.718,146.109,2.18869
8.27385,151.232,0.00661234,149.79,146.127,2.19372
8.29286,151.066,0.00661962,149.868,146.145,2.19875
8.31186,151.349,0.00660725,149.952,146.164,2.20378
8.33086,151.687,0.00659252,150.043,146.183,2.20881
8.34987,151.942,0.00658145,150.14,146.203,2.21384
8.36887,151.838,0.00658599,150.243,146.223,2.21887
8.38787,151.525,0.00659956,150.352,146.244,2.2239
8.40688,151.521,0.00659976,150.468,146.265,2.22892
8.42588,151.592,0.00659668,150.59,146.286,2.23395
8.44488,151.977,0.00657993,150.719,146.308,2.23898
8.46389,152.019,0.00657812,150.854,146.331,2.24401
8.48289,151.978,0.00657988,150.997,146.354,2.24904
8.50189,151.69,0.00659238,151.148,146.377,2.25407
8.52089,152.21,0.00656989,151.307,146.402,2.2591
8.5399,152.764,0.00654605,151.475,146.427,2.26413
8.5589,153.468,0.00651601,151.652,146.452,2.26916
8.5779,154.019,0.00649272,151.838,146.479,2.27418
8.59691,153.818,0.00650118,152.035,146.506,2.27921
8.61591,153.874,0.00649882,152.243,146.534,2.28424
8.63491,153.82,0.0065011,152.462,146.562,2.28927
8.65392,154.215,0.00648447,152.695,146.591,2.2943
8.67292,154.412,0.0064762,152.94,146.622,2.29933
8.69192,154.591,0.00646867,153.201,146.653,2.30435
8.71093,154.533,0.00647112,153.477,146.684,2.30938
8.72993,154.583,0.00646903,153.77,146.717,2.31441
8.74893,154.644,0.00646648,154.082,146.751,2.31944
8.76794,155.02,0.00645079,154.414,146.785,2.32447
8.78694,155.02,0.00645078,154.767,146.821,2.32949
8.80594,155.683,0.0064233,155.144,146.857,2.33452
8.82495,156.053,0.00640807,155.547,146.895,2.33955
8.84395,156.635,0.00638425,155.978,146.933,2.34458
8.86295,156.765,0.00637899,156.441,146.972,2.3496
8.88196,157.405,0.00635304,156.938,147.013,2.35463
8.90096,157.509,0.00634886,157.472,147.055,2.35966
8.91996,158.112,0.00632464,158.049,147.097,2.36469
8.93897,158.524,0.00630819,158.671,147.141,2.36971
8.95797,159.328,0.00627635,159.346,147.186,2.37474
8.97697,159.914,0.00625335,160.078,147.233,2.37977
8.99598,160.184,0.00624283,160.875,147.28,2.3848
9.01498,160.641,0.00622505,161.745,147.329,2.38982
9.03398,161.108,0.00620703,162.697,147.379,2.39485
9.05299,161.639,0.00618663,163.742,147.43,2.39988
9.07199,162.381,0.00615835,164.892,147.482,2.4049
9.09099,163.612,0.00611202,166.164,147.536,2.40993
9.11,164.906,0.00606406,167.575,147.591,2.41496
9.129,165.864,0.00602903,169.147,147.648,2.41998
9.148,166.922,0.00599081,170.906,147.706,2.42501
9.16701,168.09,0.00594919,172.882,147.765,2.43004
9.18601,169.599,0.00589628,175.117,147.826,2.43506
9.20501,171.318,0.00583709,177.658,147.888,2.44009
9.22402,173.5,0.00576368,180.568,147.952,2.44512
9.24302,176.068,0.00567962,183.925,148.017,2.45014
9.26202,178.774,0.00559367,187.833,148.083,2.45517
9.28103,182.456,0.00548079,192.422,148.152,2.4602
9.30003,186.385,0.00536525,197.861,148.221,2.46522
9.31903,192.103,0.00520553,204.367,148.293,2.47025
9.33804,199.33,0.00501682,212.207,148.365,2.47527
9.35704,209.157,0.00478111,221.712,148.44,2.4803
9.37604,222.104,0.00450239,233.275,148.516,2.48533
9.39505,238.206,0.00419805,247.347,148.594,2.49035
9.41405,261.295,0.00382709,264.421,148.673,2.49538
9.43305,289.112,0.00345886,284.98,148.754,2.5004
9.45206,323.702,0.00308926,309.4,148.837,2.50543
9.47106,360.516,0.0027738,337.725,148.921,2.51045
9.49006,395.814,0.00252644,369.3,149.008,2.51548
9.50906,426.295,0.00234579,402.208,149.095,2.5205
9.52807,445.304,0.00224566,432.762,149.185,2.52553
9.54707,455.521,0.00219529,455.715,149.277,2.53055
9.56607,454.097,0.00220217,465.881,149.37,2.53558
9.58508,444.081,0.00225184,460.817,149.465,2.5406
9.60408,426.33,0.0023456,442.385,149.562,2.54563
9.62308,405.221,0.00246779,415.593,149.66,2.55065
9.64209,383.449,0.00260791,385.924,149.761,2.55568
9.66109,363.06,0.00275436,357.459,149.863,2.5607
