"Histogram","PWDR 1_ReMoB2_0bars_0p2GPa_S_P1_C1_D1w_010.fxye Bank 1"
"Instparm: Type","PXC"
"Instparm: Bank",      1.00
"Instparm: Lam",  0.413263
"Instparm: Polariz.",      0.99
"Instparm: Azimuth",      0.00
"Instparm: Zero", -0.000383
"Instparm: U",    234.80
"Instparm: V",    -21.61
"Instparm: W",      7.33
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Samparm: InstrName",
"Samparm: Scale",      0.04
"Samparm: Type",Debye-Scherrer
"Samparm: DisplaceX",    -43.90
"Samparm: DisplaceY",    -55.13
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
3.14297,163.428,0.0061189,163.002,162.854,0.834006
3.16197,163.01,0.00613463,163.017,162.852,0.839046
3.18098,162.414,0.00615708,163.02,162.833,0.844089
3.19998,161.874,0.00617762,163.02,162.799,0.849129
3.21898,161.816,0.00617985,163.006,162.749,0.854168
3.23799,162.14,0.00616753,162.99,162.685,0.859211
3.25699,162.751,0.00614435,162.978,162.608,0.864251
3.27599,163.179,0.0061282,162.985,162.518,0.86929
3.295,163.323,0.00612283,163.052,162.415,0.874333
3.314,162.657,0.00614791,163.305,162.301,0.879372
3.333,163.2,0.00612743,164.06,162.176,0.884412
3.35201,165.522,0.00604143,165.799,162.041,0.889454
3.37101,170.123,0.00587812,168.751,161.897,0.894494
3.39001,173.941,0.00574905,172.074,161.743,0.899534
3.40902,175.324,0.00570372,173.3,161.581,0.904576
3.42802,171.987,0.00581438,170.932,161.411,0.909615
3.44702,168.005,0.00595218,167.203,161.233,0.914655
3.46603,164.058,0.00609542,164.211,161.049,0.919697
3.48503,161.533,0.00619065,162.446,160.858,0.924736
3.50403,160.072,0.00624715,161.543,160.662,0.929776
3.52304,159.603,0.00626555,161.046,160.46,0.934818
3.54204,159.859,0.00625555,160.696,160.253,0.939857
3.56104,159.645,0.00626387,160.398,160.041,0.944897
3.58005,159.046,0.00628753,160.129,159.825,0.949939
3.59905,159.094,0.00628564,159.866,159.606,0.954978
3.61805,158.758,0.00629892,159.61,159.383,0.960017
3.63706,158.411,0.00631274,159.359,159.157,0.965059
3.65606,158.356,0.00631494,159.111,158.928,0.970098
3.67506,158.256,0.00631886,158.864,158.697,0.975138
3.69407,157.7,0.00634122,158.618,158.465,0.980179
3.71307,157.382,0.00635397,158.373,158.23,0.985219
3.73207,157.435,0.00635184,158.129,157.994,0.990258
3.75108,157.443,0.00635153,157.885,157.757,0.995299
3.77008,157.089,0.00636583,157.641,157.52,1.00034
3.78908,156.705,0.0063814,157.398,157.281,1.00538
3.80808,156.263,0.00639949,157.155,157.043,1.01042
3.82709,156.675,0.00638263,156.913,156.804,1.01546
3.84609,156.386,0.00639447,156.671,156.566,1.0205
3.86509,156.632,0.00638436,156.431,156.328,1.02554
3.8841,156.576,0.00638671,156.191,156.091,1.03058
3.9031,156.584,0.0063864,155.952,155.854,1.03562
3.9221,156.188,0.00640256,155.715,155.619,1.04066
3.94111,155.622,0.00642578,155.479,155.385,1.0457
3.96011,155.419,0.00643424,155.246,155.152,1.05074
3.97911,155.115,0.00644685,155.013,154.921,1.05577
3.99812,155.164,0.00644478,154.783,154.691,1.06082
